date,hospitalizations
2020-07-30,5
2020-07-29,18
2020-07-28,30
2020-07-27,54
2020-07-26,104
2020-07-25,134
2020-07-24,182
2020-07-23,215
2020-07-22,163
2020-07-21,145
2020-07-20,164
2020-07-19,171
2020-07-18,170
2020-07-17,203
2020-07-16,240
2020-07-15,355
2020-07-14,368
2020-07-13,427
2020-07-12,244
2020-07-11,262
2020-07-10,209
2020-07-09,148
2020-07-08,95
2020-07-07,119
2020-07-06,127
2020-07-05,97
2020-07-04,88
2020-07-03,107
2020-07-02,118
2020-07-01,148
2020-06-30,125
2020-06-29,140
2020-06-28,95
2020-06-27,110
2020-06-26,119
2020-06-25,101
2020-06-24,114
2020-06-23,120
2020-06-22,132
2020-06-21,110
2020-06-20,80
2020-06-19,123
2020-06-18,100
2020-06-17,81
2020-06-16,95
2020-06-15,121
2020-06-14,82
2020-06-13,90
2020-06-12,85
2020-06-11,80
2020-06-10,80
2020-06-09,96
2020-06-08,104
2020-06-07,82
2020-06-06,76
2020-06-05,83
2020-06-04,62
2020-06-03,77
2020-06-02,81
2020-06-01,75
2020-05-31,51
2020-05-30,58
2020-05-29,61
2020-05-28,57
2020-05-27,53
2020-05-26,47
2020-05-25,51
2020-05-24,43
2020-05-23,41
2020-05-22,58
2020-05-21,50
2020-05-20,40
2020-05-19,42
2020-05-18,57
2020-05-17,30
2020-05-16,38
2020-05-15,44
2020-05-14,52
2020-05-13,39
2020-05-12,43
2020-05-11,42
2020-05-10,35
2020-05-09,38
2020-05-08,57
2020-05-07,48
2020-05-06,53
2020-05-05,57
2020-05-04,47
2020-05-03,55
2020-05-02,46
2020-05-01,49
2020-04-30,53
2020-04-29,61
2020-04-28,51
2020-04-27,57
2020-04-26,44
2020-04-25,46
2020-04-24,54
2020-04-23,44
2020-04-22,44
2020-04-21,30
2020-04-20,67
2020-04-19,47
2020-04-18,51
2020-04-17,31
2020-04-16,44
2020-04-15,43
2020-04-14,50
2020-04-13,48
2020-04-12,38
2020-04-11,42
2020-04-10,46
2020-04-09,44
2020-04-08,54
2020-04-07,34
2020-04-06,59
2020-04-05,49
2020-04-04,44
2020-04-03,51
2020-04-02,34
2020-04-01,48
2020-03-31,55
2020-03-30,52
2020-03-29,41
2020-03-28,43
2020-03-27,40
2020-03-26,39
2020-03-25,45
2020-03-24,30
2020-03-23,45
2020-03-22,17
2020-03-21,20
2020-03-20,22
2020-03-19,18
2020-03-18,12
2020-03-17,13
2020-03-16,6
2020-03-15,10
2020-03-14,4
2020-03-13,6
2020-03-12,5
2020-03-11,3
2020-03-09,3
2020-03-08,1
2020-03-06,1
2020-03-05,1
2020-03-04,1
2020-03-03,1
2020-02-28,1
2020-02-21,1
2020-01-04,1
